,FrameIDSync,centre_x,centre_y
0,0.0,,
1,2.0,,
2,3.0,,
3,4.0,,
4,5.0,,
5,6.0,,
6,7.0,,
7,8.0,,
8,9.0,,
9,10.0,,
10,11.0,,
11,12.0,,
12,13.0,,
13,14.0,,
14,15.0,,
15,16.0,,
16,17.0,,
17,18.0,,
18,19.0,,
19,20.0,,
20,21.0,,
21,22.0,,
22,23.0,,
23,24.0,,
24,25.0,,
25,26.0,,
26,27.0,,
27,28.0,,
28,29.0,,
29,30.0,,
30,35.0,,
31,40.0,,
32,45.0,,
33,50.0,,
34,55.0,,
35,60.0,,
36,65.0,,
37,70.0,,
38,75.0,,
39,80.0,,
40,85.0,,
41,90.0,,
42,95.0,,
43,100.0,,
44,105.0,,
45,110.0,,
46,115.0,,
47,120.0,,
48,125.0,,
49,130.0,,
50,135.0,,
51,140.0,,
52,145.0,,
53,150.0,,
54,155.0,,
55,160.0,,
56,165.0,,
57,170.0,,
58,175.0,,
59,180.0,,
60,185.0,142.0,2099.0
61,186.0,180.0,2079.0
62,187.0,249.0,2073.0
63,188.0,321.0,2069.0
64,189.0,392.0,2065.0
65,190.0,464.0,2060.0
66,191.0,535.0,2056.0
67,192.0,606.0,2052.0
68,193.0,677.0,2047.0
69,194.0,748.0,2043.0
70,195.0,818.0,2038.0
71,196.0,889.0,2033.0
72,197.0,959.0,2029.0
73,198.0,1030.0,2024.0
74,199.0,154.0,1977.0
75,200.0,206.0,1967.0
76,201.0,282.0,1968.0
77,202.0,356.0,1968.0
78,203.0,431.0,1967.0
79,204.0,506.0,1967.0
80,205.0,581.0,1966.0
81,206.0,655.0,1965.0
82,207.0,730.0,1964.0
83,208.0,804.0,1963.0
84,209.0,878.0,1962.0
85,210.0,953.0,1961.0
86,211.0,1027.0,1959.0
87,212.0,1104.0,1961.0
88,213.0,1179.0,1959.0
89,214.0,1253.0,1956.0
90,215.0,1327.0,1953.0
91,216.0,1400.0,1950.0
92,217.0,1471.0,1945.0
93,218.0,1545.0,1942.0
94,219.0,1619.0,1939.0
95,220.0,1692.0,1935.0
96,221.0,1766.0,1932.0
97,222.0,1839.0,1928.0
98,223.0,1913.0,1924.0
99,224.0,1986.0,1920.0
100,225.0,2046.0,1915.0
101,226.0,2076.0,1904.0
102,227.0,,
103,228.0,,
104,229.0,,
105,230.0,,
106,231.0,,
107,232.0,,
108,233.0,,
109,234.0,,
110,235.0,,
111,236.0,,
112,237.0,,
113,238.0,,
114,239.0,,
115,240.0,,
116,241.0,,
117,242.0,,
118,243.0,,
119,244.0,,
120,245.0,,
121,246.0,,
122,247.0,,
123,248.0,,
124,249.0,,
125,250.0,,
126,251.0,,
127,252.0,,
128,253.0,,
129,254.0,,
130,255.0,,
131,256.0,,
132,261.0,,
133,266.0,,
134,271.0,,
135,276.0,,
136,281.0,,
137,286.0,221.0,1349.0
138,287.0,294.0,1350.0
139,288.0,366.0,1350.0
140,289.0,439.0,1350.0
141,290.0,512.0,1351.0
142,291.0,586.0,1351.0
143,292.0,660.0,1352.0
144,293.0,735.0,1351.0
145,294.0,809.0,1352.0
146,295.0,883.0,1352.0
147,296.0,957.0,1353.0
148,297.0,1030.0,1355.0
149,298.0,1102.0,1355.0
150,299.0,1176.0,1356.0
151,300.0,1250.0,1356.0
152,301.0,1324.0,1356.0
153,302.0,1398.0,1354.0
154,303.0,1470.0,1353.0
155,304.0,1541.0,1351.0
156,305.0,1612.0,1353.0
157,306.0,1682.0,1354.0
158,307.0,1755.0,1355.0
159,308.0,1828.0,1356.0
160,309.0,1901.0,1355.0
161,310.0,1975.0,1354.0
162,311.0,2047.0,1354.0
163,312.0,2086.0,1356.0
164,313.0,,
165,314.0,,
166,315.0,,
167,316.0,,
168,317.0,,
169,318.0,,
170,319.0,,
171,320.0,,
172,321.0,,
173,322.0,,
174,323.0,,
175,324.0,,
176,325.0,,
177,326.0,,
178,327.0,,
179,328.0,,
180,329.0,,
181,330.0,,
182,331.0,,
183,332.0,,
184,333.0,,
185,334.0,,
186,335.0,,
187,336.0,,
188,337.0,,
189,338.0,,
190,339.0,,
191,340.0,,
192,341.0,,
193,342.0,,
194,347.0,,
195,352.0,,
196,357.0,,
197,362.0,,
198,367.0,,
199,372.0,,
